127.0.0.1 - - [10/Mar/2023:07:02:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /packersandmovers/vendors/js/imagesloaded.pkgd.min.js HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /packersandmovers/vendors/js/TweenMax.min.js HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /packersandmovers/css/base.css HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /packersandmovers/vendors/js/demo.js HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /packersandmovers/resources/img/movers1.jpg HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /packersandmovers/favicon.ico HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:52 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 500 2488
0:0:0:0:0:0:0:1 - - [10/Mar/2023:07:02:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 200 5144
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 200 73625
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 200 113348
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/images/products.jpg HTTP/1.1" 200 76935
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/images/aim.jpg HTTP/1.1" 200 59767
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:19 +0530] "GET /dairymanagement/images/working.png HTTP/1.1" 200 662525
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/css/images/mainimg.jpeg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-brands-400.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-regular-400.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-brands-400.ttf HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:40:20 +0530] "GET /dairymanagement/webfonts/fa-regular-400.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:17 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:17 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:17 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:17 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 200 5146
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/images/products.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/images/aim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/images/working.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/css/..images/mainimg.jpeg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-regular-400.woff2 HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-brands-400.woff2 HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-brands-400.woff HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-regular-400.woff HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-regular-400.ttf HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:42:18 +0530] "GET /dairymanagement/webfonts/fa-brands-400.ttf HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:18 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4360
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:18 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:18 +0530] "GET /dairymanagement/css/..images/mainimg.jpeg HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:34 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4417
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:34 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:47 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4416
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:47 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:43:53 +0530] "GET /dairymanagement/startpage.php HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/images/products.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/images/aim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:44:28 +0530] "GET /dairymanagement/images/working.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:46:23 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:46:23 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 200 5147
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:46:23 +0530] "GET /dairymanagement/images/mainimg.jpeg HTTP/1.1" 200 100905
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 200 5147
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/images/products.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/images/aim.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:21 +0530] "GET /dairymanagement/images/working.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:36 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4412
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:48:36 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:49:27 +0530] "GET /dairymanagement/index.jsp HTTP/1.1" 200 4409
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:49:27 +0530] "GET /dairymanagement/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/images/login.jpg HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/images/mainimg.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:08:50:31 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1513
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/project/Dairystyle.css HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/css/all.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/images/NATURE-ONE-DAIRY-CORPORATE-LOGO-01.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/images/login.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff2 HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/webfonts/fa-solid-900.woff HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:07:23 +0530] "GET /dairymanagement/webfonts/fa-solid-900.ttf HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [10/Mar/2023:09:11:26 +0530] "GET /dairymanagement/loginpage.jsp HTTP/1.1" 200 1563
